curso,date,field,plataforma,id,link
Exploratory Data Analysis in Python,12/31/2021,DATA SCIENCE,CodeCademy,,https://www.codecademy.com/profiles/robertomdiniz/certificates/33af3a7ba2bd8a4291d5188f2d436696
How to Clean Data with Python,9/6/2021,DATA ENGINEERING,CodeCademy,,https://www.codecademy.com/profiles/robertomdiniz/certificates/e773a003314c1be60da8388a90a77e78
Learn Bash Scripting,8/27/2021,DATA ENGINEERING,CodeCademy,,https://www.codecademy.com/profiles/robertomdiniz/certificates/37c55263a9f1b1f7603f7551c293ecbd
Learn Data Analysis with Pandas,2/10/2021,DATA ENGINEERING,CodeCademy,,https://www.codecademy.com/profiles/robertomdiniz/certificates/95dd3ed417d7d6c449afffc6401b310a
Learn Python 3,14/4/2021,DATA ENGINEERING,CodeCademy,,https://www.codecademy.com/profiles/robertomdiniz/certificates/6c152bd262967f8c941c9707ed636bda
Learn SQL Course,8/17/0202,DBA,CodeCademy,,https://www.codecademy.com/profiles/robertomdiniz/certificates/042a4e5884e3eb6ea1f2a12be6abb851
Learn Statistics with NumPy,8/22/2021,DATA SCIENCE,CodeCademy,,https://www.codecademy.com/profiles/robertomdiniz/certificates/43135f7494712f4c3b1ced1a55be7be1
Learn the Basics of Regular Expressions,10/10/2021,DATA ENGINEERING,CodeCademy,,https://www.codecademy.com/profiles/robertomdiniz/certificates/9da8e26980d5139405439ee7578b8b69
Learn the Command Line,8/17/2021,DATA ENGINEERING,CodeCademy,,https://www.codecademy.com/profiles/robertomdiniz/certificates/c87ba0541f8be78bc2f4ba1128233f6f
Creating PostgreSQL Databases,4/18/2022,DBA,DataCamp,"#22,832,993",https://www.datacamp.com/statement-of-accomplishment/course/6328c3299dd9d01d1177435b38e8d9ce85844c54
Introduction to Data Engineering,2/26/2022,DATA ENGINEERING,DataCamp,"#22,479,586",https://www.datacamp.com/statement-of-accomplishment/course/763ad4f93df0ca0ff4d1313399c3d24bd3a75c7d
Data Processing in Shell,2/20/2022,DATA ENGINEERING,DataCamp,"#23,107,761",https://www.datacamp.com/statement-of-accomplishment/course/b940731355ef858d9b2d990aee2d0e0348288351
Foundations of Probability in Python,6/23/2022,DATA SCIENCE,DataCamp,"#23,658,435",https://www.datacamp.com/statement-of-accomplishment/course/4636b707c8dcdc8695fb3940c2ffc85cc1aa0579
Introduction to Airflow in Python,3/4/2022,DATA ENGINEERING,DataCamp,"#22,704,916",https://www.datacamp.com/statement-of-accomplishment/course/46d9000a6a0dbea337da8ee1f2d911c1673b3e79
Introduction to Bash Scripting,2/22/2022,DATA ENGINEERING,DataCamp,"#23,119,199",https://www.datacamp.com/statement-of-accomplishment/course/03bec7f3dd48ab861f17f6e2862e594568f309be
Introduction to Power BI,1/23/2022,DATA SCIENCE,DataCamp,"#22,549,749",https://www.datacamp.com/statement-of-accomplishment/course/b1edc8dcaa0e648d8d43fec7d968882cf84ae874
introduction to pyspark,4/20/2022,BIG DATA,DataCamp,"#22,441,529",https://github.com/s33ding/myCertificates/blob/main/datacamp_introduction%20to%20pyspark.pdf
Introduction to Relational Databases in SQL,3/3/2022,DBA,DataCamp,"#23,067,162",https://www.datacamp.com/statement-of-accomplishment/course/42eb4d282b095ddfaa0065907c518c5051f7b5b4
Introduction to Scala,5/5/2022,BIG DATA,DataCamp,"#23,144,363",https://www.datacamp.com/statement-of-accomplishment/course/3672dd6b97120d9ca202d3f8bd028ff67831b428
Introduction to  Shell,2/19/2022,DATA ENGINEERING,DataCamp,"#22,685,188",https://www.datacamp.com/statement-of-accomplishment/course/8bb18f7a9b4f8e91cf3a0e80771d23bcef7b7cbe
Python Data Science Toolbox (Part 2),1/23/2022,DATA SCIENCE,DataCamp,"#22,700,284",https://app.datacamp.com/learn/courses/python-data-science-toolbox-part-2
Regular Expressions in Python,2/15/2022,DATA ENGINEERING,DataCamp,"#22,864,276",https://www.datacamp.com/statement-of-accomplishment/course/a8d1acb463db98dc4605613d95d4826eb0e317b7
Streamlined Data Ingestion with Pandas,1/22/2022,DATA SCIENCE,DataCamp,"#22,671,802",https://www.datacamp.com/statement-of-accomplishment/course/2b8113ee484f7a2ad8d84e7e32ccd861c996569a?raw=1
Writing Efficient Code with Pandas,2/24/2022,ETL,DataCamp,"#22,694,144",https://www.datacamp.com/statement-of-accomplishment/course/a6689c0517832393c1e33fde01a539dd3d60544d
Writing Efficient Python Code,2/11/2022,ETL,DataCamp,"#22,577,755",https://www.datacamp.com/statement-of-accomplishment/course/fc64a4364f76a49340a0bcc2ef29ed5e01bf6d96
English,7/1/2017,ENGLISH,Casa Thomas Jefferson,,https://github.com/s33ding/myCertificates/blob/main/english_Casa%20Thomas%20Jefferson.pdf
English,10/31/2020,ENGLISH,TOEFL,,https://github.com/s33ding/myCertificates/blob/main/english_TOEFL_my_score.pdf
Big Data Fundamentals with PySpark,10/13/2022,BIG DATA,DataCamp,"#24,143,835",https://www.datacamp.com/statement-of-accomplishment/course/99e35d34dbbfe913b9f469f775eb46a190cde644
Introduction to SQL Server,9/17/2022,DBA,DataCamp,"#23,941,546",https://www.datacamp.com/statement-of-accomplishment/course/06eccba90ece050c5c1c59236b61dcf69c2be37e
Understanding Cloud Computing,2/25/2022,CLOUD,DataCamp,"#23,180,504",https://www.datacamp.com/statement-of-accomplishment/course/5b74c4928168513fa80f2ae88a75c4ff1b5378ef
AWS Lambda Foundations ,8/13/2022,CLOUD,AWS Skill Builder,,https://github.com/s33ding/myCertificates/blob/main/awsSkillBuilder_AWS_Lambda.pdf
AWS Lambda - A Practical Guide,10/20/2022,CLOUD,Udemy,,https://www.udemy.com/certificate/UC-b9c2e1b6-7f3c-4a5a-b579-57fad0a255f5/
Getting Started with AWS Glue,10/14/2022,CLOUD,AWS Skill Builder,,https://github.com/s33ding/myCertificates/blob/main/AWS_SkillBuilder_Glue.pdf
Cleaning Data with PySpark,11/15/2022,BIG DATA,DataCamp,"#23,931,785",https://www.datacamp.com/statement-of-accomplishment/course/894911f368f19e6318f641a3331e42f67e965244?raw=1
Introduction to Big Data with PySpark Course,12/12/2022,BIG DATA,CodeCademy,,https://www.codecademy.com/profiles/robertomdiniz/certificates/895f3c0e3a564e9abea6f431ce5d87cc
