name,hours,link,plataform,date,expires,type,hashtag,id_certificate,original_link
"Deploy Serverless Functions Using AWS
SAM",0.6,https://s33ding.s3.amazonaws.com/accomplishments/plural_sight_Deploy%20Serverless%20Functions%20Using%20AWS.pdf,Pluralsight,2025-10-09,,Course,AWS,e9fc71c1-dd11-4652-aa55-4e8b062c6b9a,https://app.pluralsight.com/learner/user/courses/v2/e9fc71c1-dd11-4652-aa55-4e8b062c6b9a/certificate
Pre Security,7.5,https://s33ding.s3.amazonaws.com/accomplishments/thm_pre_security.pdf,TryHackMe,2025-09-30,,Course,SECURITY,THM-SVJJMCIXON,https://tryhackme-certificates.s3-eu-west-1.amazonaws.com/THM-SVJJMCIXON.pdf
Agile Fundamentals,1.5,https://s33ding.s3.amazonaws.com/accomplishments/plural_sight_Agile%20Fundamentals.pdf,Pluralsight,2025-08-27,,Course,AGILE,d2de638c-920f-494f-af34-7e865b72d615,https://app.pluralsight.com/learner/user/courses/v2/d2de638c-920f-494f-af34-7e865b72d615/certificate
Introduction to Amazon Q,0.3,https://s33ding.s3.amazonaws.com/accomplishments/plural_sight_Introduction%20to%20Amazon%20Q.pdf,Pluralsight,2025-07-28,,Course,"AI, AWS",537dace9-0704-4037-9da2-1382a4f8bb85,https://app.pluralsight.com/learner/user/courses/v2/537dace9-0704-4037-9da2-1382a4f8bb85/certificate
LLMOps Concepts,1.0,https://s33ding.s3.amazonaws.com/accomplishments/datacamp_LLMOps.pdf,DataCamp,2025-08-06,,Course,"AI,LLM","#42,172,282",https://www.datacamp.com/statement-of-accomplishment/course/1d9a907e36d536f061591e937f5c9da1f4bf148c?raw=1
KCNA: Kubernetes and Cloud Native Associate Certification Exam,,https://www.credly.com/badges/c7f64b7f-6389-491a-8358-7738ddf68deb/linked_in?t=t0a4qz,The Linux Foundation,2025-07-31,2027-08-01,Professional Certification,KUBERNETES,LF-091hq7ibtk,https://www.credly.com/badges/c7f64b7f-6389-491a-8358-7738ddf68deb/linked_in?t=t0a4qz
Kubernetes and Cloud Native Associate (KCNA) - Preparation Training Course,7.0,https://s33ding.s3.amazonaws.com/accomplishments/plural_sight_kcna.pdf,Pluralsight,2025-07-28,,Course,KUBERNETES,c189c10d-68c6-4a3b-b409-d3382a14e30c,https://app.pluralsight.com/learner/user/ilx/c189c10d-68c6-4a3b-b409-d3382a14e30c/certificate
Introduction to AI Agents,1.5,https://s33ding.s3.amazonaws.com/accomplishments/datacamp_Introduction%20to%20AI%20Agents.pdf,DataCamp,2025-07-25,,Course,"AI, AGENTS","#42,053,009",https://www.datacamp.com/statement-of-accomplishment/course/095c981b92f8f8cf78ef5ab361da7658be9b0f90?raw=1
Introduction to Apache Kafka,2.0,https://s33ding.s3.amazonaws.com/accomplishments/datacamp_introduction_to_kafka.pdf,DataCamp,2025-05-23,,Course,KAFKA,"#36,251,178",https://www.datacamp.com/statement-of-accomplishment/course/f4a364a79d3b1a2e8fac1565d760afb0a0a6e304?raw=1
GitHub Foundations Certificate,,https://www.credly.com/badges/94f4f4dd-00a8-4d5e-a179-45f94c5ef785/linked_in?t=swhg11,GitHub,2025-05-18,2028-05-18,Professional Certification,GIT,,
